Player,Season,TeamID,TeamName,FirstName,LastName,AdditionalName,Rk,G,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Kenny Carpenter,2016,1156,Cleveland St,Kenny,Carpenter,,4,32,7,20.5,2.7,6.4,0.41700000000000004,2.0,4.2,0.47,0.7,2.3,0.319,0.7,1.1,0.639,0.4,2.3,2.8,1.5,0.7,0.2,0.8,1.2,6.8
Vinny Zollo,2016,1156,Cleveland St,Vinny,Zollo,,5,29,24,22.1,2.4,6.6,0.361,1.6,3.6,0.44799999999999995,0.8,3.0,0.256,1.2,1.7,0.708,1.8,3.9,5.7,1.1,0.5,0.4,1.5,2.6,6.7
Jibri Blount,2016,1156,Cleveland St,Jibri,Blount,,6,29,5,16.7,2.0,4.1,0.49200000000000005,2.0,4.0,0.491,0.1,0.1,0.5,1.5,2.4,0.62,1.1,2.1,3.1,0.5,0.9,0.4,1.7,2.2,5.7
Daniel Levitt,2016,1156,Cleveland St,Daniel,Levitt,,7,14,0,13.8,1.4,3.9,0.345,0.2,0.6,0.33299999999999996,1.1,3.3,0.348,0.6,0.7,0.9,0.4,0.6,1.0,0.2,0.4,0.0,0.2,0.7,4.5
Myles Hamilton,2016,1156,Cleveland St,Myles,Hamilton,,8,10,0,12.2,0.9,2.6,0.34600000000000003,0.6,1.4,0.429,0.3,1.2,0.25,0.5,0.6,0.833,0.5,0.9,1.4,1.9,0.2,0.2,1.2,1.4,2.6
Tim Hasbargen,2016,1156,Cleveland St,Tim,Hasbargen,,9,22,0,9.3,0.9,2.0,0.43200000000000005,0.5,1.0,0.47600000000000003,0.4,1.0,0.391,0.5,0.7,0.688,0.4,0.9,1.3,0.3,0.4,0.0,0.6,0.7,2.6
Nelson Maxwell,2016,1156,Cleveland St,Nelson,Maxwell,,10,16,0,14.8,0.8,2.1,0.353,0.5,1.8,0.28600000000000003,0.3,0.4,0.667,0.8,1.0,0.813,0.4,1.0,1.4,1.2,0.5,0.1,0.9,2.1,2.6
Terrell Hales,2016,1156,Cleveland St,Terrell,Hales,,11,32,29,21.3,0.7,1.8,0.375,0.6,1.3,0.465,0.0,0.4,0.077,0.3,0.6,0.42100000000000004,0.9,1.4,2.3,1.3,1.0,0.1,1.2,2.2,1.6
Jeron Rogers,2016,1156,Cleveland St,Jeron,Rogers,,12,25,1,9.1,0.5,1.9,0.255,0.3,1.0,0.292,0.2,0.9,0.217,0.5,0.7,0.667,0.4,1.2,1.5,0.3,0.2,0.1,0.4,1.0,1.6
Aaron Scales,2016,1156,Cleveland St,Aaron,Scales,,13,24,0,8.0,0.4,1.1,0.385,0.4,1.1,0.385,0.0,0.0,,0.5,0.8,0.667,1.0,0.5,1.5,0.0,0.1,0.3,0.4,1.6,1.3
Derek Sloan,2016,1156,Cleveland St,Derek,Sloan,,14,28,6,7.4,0.4,1.1,0.4,0.4,1.1,0.4,0.0,0.0,,0.4,0.7,0.632,0.5,0.8,1.2,0.1,0.1,0.2,0.5,1.6,1.3
Jonothan Janssen,2016,1156,Cleveland St,Jonothan,Janssen,,15,11,1,3.4,0.2,0.6,0.28600000000000003,0.1,0.2,0.5,0.1,0.5,0.2,0.4,0.4,1.0,0.3,0.7,1.0,0.0,0.0,0.2,0.0,0.0,0.8
Rob Edwards,2017,1156,Cleveland St,Rob,Edwards,,1,31,30,31.1,5.4,13.0,0.413,3.4,7.3,0.46,2.0,5.7,0.354,3.7,4.8,0.765,0.9,3.5,4.5,1.7,1.3,0.2,3.1,2.2,16.5
Demonte Flannigan,2017,1156,Cleveland St,Demonte,Flannigan,,2,27,26,25.6,4.7,10.1,0.46299999999999997,4.4,9.3,0.48,0.2,0.8,0.273,1.5,2.3,0.6609999999999999,1.8,3.7,5.6,0.7,0.3,0.7,2.0,3.1,11.1
Bobby Word,2017,1156,Cleveland St,Bobby,Word,,3,31,30,30.9,3.6,10.4,0.35200000000000004,1.5,3.7,0.409,2.1,6.6,0.32,1.7,2.4,0.716,0.9,2.1,3.0,1.1,0.8,0.4,1.2,2.4,11.1
Kasheem Thomas,2017,1156,Cleveland St,Kasheem,Thomas,,4,31,30,28.3,2.4,6.5,0.373,1.5,3.4,0.43799999999999994,0.9,3.1,0.302,1.9,2.7,0.7020000000000001,0.4,2.3,2.7,3.3,0.8,0.0,1.6,2.3,7.7
Kenny Carpenter,2017,1156,Cleveland St,Kenny,Carpenter,,5,31,0,17.0,2.1,6.0,0.355,1.8,4.5,0.40700000000000003,0.3,1.5,0.196,0.8,1.2,0.722,0.5,1.4,1.9,0.8,0.3,0.2,1.1,1.3,5.4
Jibri Blount,2017,1156,Cleveland St,Jibri,Blount,,6,30,10,15.0,1.4,3.5,0.41,1.1,2.2,0.478,0.4,1.3,0.289,0.5,0.8,0.667,0.7,1.5,2.2,0.5,0.7,0.2,1.0,1.8,3.8
Anthony Wright,2017,1156,Cleveland St,Anthony,Wright,,7,28,3,13.0,1.4,2.9,0.488,1.2,2.2,0.541,0.2,0.7,0.316,0.4,0.6,0.647,1.0,1.9,2.9,0.7,0.6,0.3,0.8,1.2,3.4
Derek Sloan,2017,1156,Cleveland St,Derek,Sloan,,8,31,23,12.0,1.2,2.1,0.563,1.2,2.0,0.59,0.0,0.1,0.0,0.7,1.2,0.5529999999999999,1.1,1.4,2.5,0.3,0.6,0.6,0.6,2.8,3.0
Daniel Levitt,2017,1156,Cleveland St,Daniel,Levitt,,9,21,0,6.5,0.7,2.3,0.313,0.1,0.5,0.3,0.6,1.8,0.316,0.4,0.6,0.667,0.4,0.2,0.7,0.1,0.2,0.0,0.1,0.6,2.4
Jamarcus Hairston,2017,1156,Cleveland St,Jamarcus,Hairston,,10,30,1,8.5,0.8,2.4,0.324,0.5,1.0,0.483,0.3,1.4,0.214,0.4,0.7,0.65,0.6,1.1,1.7,0.3,0.3,0.3,0.3,0.9,2.3
Nelson Maxwell,2017,1156,Cleveland St,Nelson,Maxwell,,11,26,0,7.1,0.7,1.5,0.475,0.5,1.2,0.452,0.2,0.3,0.556,0.2,0.2,0.667,0.1,0.5,0.6,0.3,0.3,0.0,0.7,1.1,1.8
Evan Clayborne,2017,1156,Cleveland St,Evan,Clayborne,,12,24,1,10.7,0.6,1.0,0.625,0.6,1.0,0.625,0.0,0.0,,0.1,0.5,0.16699999999999998,1.0,0.9,1.9,0.3,0.3,0.4,0.2,1.3,1.3
Tim Hasbargen,2017,1156,Cleveland St,Tim,Hasbargen,,13,14,0,3.3,0.3,0.8,0.364,0.1,0.1,1.0,0.1,0.6,0.222,0.2,0.2,1.0,0.1,0.2,0.4,0.3,0.1,0.0,0.1,0.1,0.9
Terrell Hales,2017,1156,Cleveland St,Terrell,Hales,,14,25,1,8.9,0.2,0.4,0.364,0.1,0.3,0.375,0.0,0.1,0.33299999999999996,0.1,0.2,0.75,0.7,1.0,1.7,0.7,0.8,0.1,0.6,1.0,0.5
Kenny Carpenter,2018,1156,Cleveland St,Kenny,Carpenter,,1,34,33,33.7,5.2,10.9,0.47600000000000003,3.5,6.2,0.569,1.7,4.7,0.354,1.2,1.7,0.7070000000000001,0.7,4.4,5.1,2.4,1.1,0.4,1.2,2.3,13.3
Tyree Appleby,2018,1156,Cleveland St,Tyree,Appleby,,2,34,25,25.7,3.8,8.6,0.442,2.7,5.3,0.514,1.1,3.3,0.324,3.1,4.4,0.716,0.5,1.9,2.4,4.0,1.3,0.2,3.4,2.0,11.8
Bobby Word,2018,1156,Cleveland St,Bobby,Word,,3,35,34,27.3,3.4,8.6,0.397,1.0,2.4,0.41200000000000003,2.4,6.1,0.391,1.1,1.6,0.696,0.3,2.7,2.9,0.7,0.7,0.2,1.3,2.0,10.3
Stefan Kenic,2018,1156,Cleveland St,Stefan,Kenic,,4,35,31,23.3,3.0,7.2,0.419,1.6,3.5,0.47100000000000003,1.4,3.8,0.371,2.1,2.6,0.7909999999999999,0.7,2.5,3.3,0.6,0.5,0.3,1.8,2.3,9.5
Anthony Wright,2018,1156,Cleveland St,Anthony,Wright,,5,28,24,26.1,3.0,6.2,0.491,2.4,4.0,0.595,0.7,2.2,0.306,1.3,1.6,0.778,1.9,3.9,5.8,1.5,1.1,0.4,1.4,2.2,8.0
Jamarcus Hairston,2018,1156,Cleveland St,Jamarcus,Hairston,,6,35,14,20.7,2.3,4.6,0.491,1.6,2.8,0.588,0.6,1.8,0.344,0.5,0.9,0.5670000000000001,1.2,2.5,3.7,0.7,0.6,0.4,0.7,1.5,5.6
Kasheem Thomas,2018,1156,Cleveland St,Kasheem,Thomas,,7,35,10,21.1,1.7,4.9,0.353,1.3,3.2,0.41100000000000003,0.4,1.7,0.24600000000000002,1.5,2.1,0.722,0.2,1.7,1.9,2.3,0.4,0.0,1.4,1.3,5.4
