Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Salary
Kevin Durant,PF,32,BRK,35,32,1157,324,603,0.5373134328358209,85,189,0.4497354497354497,239,414,0.5770000000000001,0.6077943615257048,210,238,0.8823529411764706,13,234,247,195,25,45,120,70,943,39058950
Anthony Edwards,SG,19,MIN,72,55,2314,505,1211,0.41701073492981006,171,520,0.32884615384615384,334,691,0.483,0.4876135425268373,211,272,0.7757352941176471,59,277,336,211,82,36,160,129,1392,9757440
Carsen Edwards,SG,22,BOS,31,1,276,47,111,0.42342342342342343,18,63,0.2857142857142857,29,48,0.604,0.5045045045045045,11,13,0.8461538461538461,3,23,26,14,7,1,7,25,123,1517981
CJ Elleby,SF,20,POR,30,0,192,25,66,0.3787878787878788,7,34,0.20588235294117646,18,32,0.563,0.4318181818181818,11,15,0.7333333333333333,11,21,32,10,6,3,5,27,68,898310
Henry Ellenson,PF,24,TOR,2,0,38,5,14,0.35714285714285715,2,9,0.2222222222222222,3,5,0.6,0.42857142857142855,3,4,0.75,3,9,12,5,0,0,0,7,15,168983
Wayne Ellington,SG,33,DET,46,31,1012,149,338,0.4408284023668639,116,275,0.4218181818181818,33,63,0.524,0.6124260355029586,28,35,0.8,12,73,85,67,18,9,33,59,442,3564753
Joel Embiid,C,26,PHI,51,51,1585,461,899,0.5127919911012235,58,154,0.37662337662337664,403,745,0.541,0.5450500556173526,471,548,0.8594890510948905,113,426,539,145,50,69,159,123,1451,29542010
James Ennis,SF,30,ORL,41,37,986,115,243,0.4732510288065844,45,104,0.4326923076923077,70,139,0.504,0.565843621399177,70,87,0.8045977011494253,43,123,166,62,32,7,36,84,345,3300000
Drew Eubanks,C,23,SAS,54,3,755,116,205,0.5658536585365853,2,2,1.0,114,203,0.562,0.5707317073170731,77,106,0.7264150943396226,74,167,241,42,18,49,45,88,311,1620564
Dante Exum,SG,25,CLE,6,3,116,10,26,0.38461538461538464,2,11,0.18181818181818182,8,15,0.5329999999999999,0.4230769230769231,1,2,0.5,2,15,17,13,4,2,7,9,23,9600000
Tacko Fall,C,25,BOS,19,0,136,21,29,0.7241379310344828,0,0,0.0,21,29,0.7240000000000001,0.7241379310344828,5,15,0.3333333333333333,16,36,52,3,1,20,6,22,47,653924
Derrick Favors,C,29,UTA,68,0,1039,155,243,0.6378600823045267,0,2,0.0,155,241,0.643,0.6378600823045267,59,80,0.7375,138,238,376,44,32,68,36,143,369,9258000
Cristiano Felicio,C,28,CHI,18,0,84,7,13,0.5384615384615384,0,2,0.0,7,11,0.636,0.5384615384615384,9,16,0.5625,10,16,26,9,4,0,4,10,23,7529020
Terrance Ferguson,SG,22,PHI,13,0,49,1,7,0.14285714285714285,0,5,0.0,1,2,0.5,0.14285714285714285,0,0,0.0,0,1,1,2,1,0,4,7,2,3944013
Bruno Fernando,C,22,ATL,33,0,226,18,44,0.4090909090909091,0,2,0.0,18,42,0.429,0.4090909090909091,15,22,0.6818181818181818,16,62,78,10,4,3,21,23,51,1517981
Yogi Ferrell,PG,27,LAC,20,0,272,40,114,0.3508771929824561,18,56,0.32142857142857145,22,58,1.149,0.4298245614035088,14,18,0.7777777777777778,10,28,38,44,14,6,6,22,112,563131
Dorian Finney-Smith,PF,27,DAL,60,60,1921,220,466,0.4721030042918455,119,302,0.39403973509933776,101,164,0.616,0.5997854077253219,31,41,0.7560975609756098,98,228,326,102,52,25,48,138,590,4000000
Malik Fitts,PF,23,LAC,3,0,11,1,3,0.3333333333333333,1,2,0.5,0,1,0.0,0.5,0,0,0.0,0,3,3,0,0,0,0,3,3,61528
Malachi Flynn,PG,22,TOR,47,14,928,127,340,0.3735294117647059,54,168,0.32142857142857145,73,172,0.424,0.45294117647058824,45,56,0.8035714285714286,10,106,116,137,38,7,43,68,353,1950600
Bryn Forbes,SG,27,MIL,70,10,1354,250,529,0.4725897920604915,154,341,0.45161290322580644,96,188,0.511,0.6181474480151229,47,61,0.7704918032786885,11,101,112,45,24,1,44,77,701,2337145
Trent Forrest,PG,22,UTA,30,0,302,32,71,0.4507042253521127,5,26,0.19230769230769232,27,45,0.6,0.4859154929577465,19,19,1.0,11,33,44,45,9,4,21,22,88,470690
Evan Fournier,SG,28,BOS,84,72,2518,494,1082,0.4565619223659889,234,566,0.4134275618374558,260,516,1.469,0.5646950092421442,216,274,0.7883211678832117,20,236,256,288,94,38,146,192,1438,17150000
De'Aaron Fox,PG,23,SAC,58,58,2036,529,1110,0.4765765765765766,103,320,0.321875,426,790,0.539,0.522972972972973,300,417,0.7194244604316546,33,170,203,417,87,27,174,170,1461,8099627
Robert Franks,PF,24,ORL,7,0,101,13,28,0.4642857142857143,5,15,0.3333333333333333,8,13,0.615,0.5535714285714286,12,13,0.9230769230769231,6,8,14,5,3,3,2,8,43,198040
Tim Frazier,PG,30,MEM,5,0,62,3,20,0.15,0,8,0.0,3,12,0.25,0.15,2,6,0.3333333333333333,0,8,8,16,2,1,4,7,8,597463
Markelle Fultz,PG,22,ORL,8,8,215,41,104,0.3942307692307692,4,16,0.25,37,88,0.42,0.41346153846153844,17,19,0.8947368421052632,5,20,25,43,8,2,18,18,103,12288697
Wenyen Gabriel,PF,23,NOP,21,0,241,24,60,0.4,13,32,0.40625,11,28,0.39299999999999996,0.5083333333333333,11,17,0.6470588235294118,20,34,54,11,9,8,15,32,72,1620564
Daniel Gafford,C,22,WAS,108,22,1582,308,450,0.6844444444444444,0,0,0.0,308,450,2.055,0.6844444444444444,144,216,0.6666666666666666,188,274,462,58,52,150,82,196,760,1517981
Danilo Gallinari,PF,32,ATL,51,4,1222,206,475,0.4336842105263158,103,254,0.40551181102362205,103,221,0.466,0.5421052631578948,161,174,0.9252873563218391,17,194,211,76,30,10,43,105,676,19500000
Langston Galloway,SG,29,PHO,40,0,438,66,147,0.4489795918367347,36,85,0.4235294117647059,30,62,0.484,0.5714285714285714,22,23,0.9565217391304348,7,35,42,26,8,0,13,25,190,2028594
Darius Garland,PG,21,CLE,54,50,1790,362,802,0.4513715710723192,105,266,0.39473684210526316,257,536,0.479,0.5168329177057357,112,132,0.8484848484848485,23,106,129,329,66,6,164,110,941,6720720
Marc Gasol,C,36,LAL,52,42,993,88,194,0.4536082474226804,50,122,0.4098360655737705,38,72,0.528,0.5824742268041238,36,50,0.72,38,177,215,109,26,58,53,115,262,2564753
Rudy Gay,PF,34,SAS,63,1,1358,264,628,0.42038216560509556,106,278,0.381294964028777,158,350,0.451,0.5047770700636943,82,102,0.803921568627451,42,261,303,88,45,40,65,115,716,14500000
Paul George,SF,30,LAC,54,54,1821,445,953,0.4669464847848898,171,416,0.4110576923076923,274,537,0.51,0.5566631689401889,198,228,0.868421052631579,45,314,359,280,62,24,179,132,1259,35450412
Taj Gibson,PF,35,NYK,45,3,936,99,158,0.6265822784810127,3,15,0.2,96,143,0.6709999999999999,0.6360759493670886,40,55,0.7272727272727273,99,151,250,36,31,49,22,99,241,3283684
Harry Giles,C,22,POR,38,0,348,42,97,0.4329896907216495,8,23,0.34782608695652173,34,74,0.45899999999999996,0.4742268041237113,16,27,0.5925925925925926,31,102,133,29,8,13,20,54,108,1620564
Shai Gilgeous-Alexander,SG,22,OKC,35,35,1180,287,565,0.5079646017699115,71,170,0.4176470588235294,216,395,0.547,0.5707964601769911,185,229,0.8078602620087336,19,147,166,207,27,23,106,70,830,4141320
Anthony Gill,PF,28,WAS,26,4,218,30,60,0.5,7,24,0.2916666666666667,23,36,0.639,0.5583333333333333,13,16,0.8125,16,35,51,11,10,4,8,27,80,898310
Freddie Gillespie,PF,23,TOR,20,2,392,44,84,0.5238095238095238,0,0,0.0,44,84,0.524,0.5238095238095238,23,33,0.696969696969697,42,55,97,9,13,20,12,43,111,363015
Rudy Gobert,C,28,UTA,71,71,2187,391,579,0.6753022452504318,0,4,0.0,391,575,0.68,0.6753022452504318,233,374,0.6229946524064172,240,720,960,89,40,190,118,163,1015,26775281
Brandon Goodwin,PG,25,ATL,47,5,620,84,223,0.37668161434977576,32,103,0.3106796116504854,52,120,0.433,0.4484304932735426,28,43,0.6511627906976745,8,61,69,95,17,0,36,41,228,1701593
Aaron Gordon,PF,25,DEN,100,100,2768,462,998,0.46292585170340683,118,352,0.3352272727272727,344,646,1.6139999999999999,0.5220440881763527,194,298,0.6510067114093959,154,414,568,322,66,68,194,178,1236,18136364
Eric Gordon,SG,32,HOU,27,13,789,159,367,0.4332425068119891,69,210,0.32857142857142857,90,157,0.573,0.5272479564032697,94,114,0.8245614035087719,8,50,58,71,14,13,51,44,481,16869267
Devonte Graham,PG,25,CHO,55,44,1659,252,669,0.37668161434977576,179,477,0.3752620545073375,73,192,0.38,0.5104633781763827,133,158,0.8417721518987342,22,126,148,295,48,6,84,77,816,1663861
Jerami Grant,SF,26,DET,54,54,1829,400,932,0.4291845493562232,115,329,0.3495440729483283,285,603,0.473,0.49087982832618027,290,343,0.8454810495626822,35,215,250,152,35,58,109,125,1205,19050000
Danny Green,SF,33,PHI,69,69,1934,224,544,0.4117647058823529,175,432,0.4050925925925926,49,112,0.43799999999999994,0.5726102941176471,31,40,0.775,55,205,260,118,92,56,67,125,654,15365853
Draymond Green,PF,30,GSW,63,63,1982,170,380,0.4473684210526316,34,126,0.2698412698412698,136,254,0.535,0.4921052631578947,70,88,0.7954545454545454,55,394,449,558,105,52,188,194,444,22246956
JaMychal Green,PF,30,DEN,58,5,1120,173,374,0.4625668449197861,79,198,0.398989898989899,94,176,0.534,0.5681818181818182,46,57,0.8070175438596491,85,192,277,53,26,22,53,144,471,7199760
Javonte Green,PG,27,CHI,82,4,946,106,204,0.5196078431372549,20,60,0.3333333333333333,86,144,1.728,0.5686274509803921,60,80,0.75,52,90,142,34,56,12,38,90,292,1517981
Jeff Green,C,34,BRK,68,38,1835,261,530,0.49245283018867925,103,250,0.412,158,280,0.564,0.589622641509434,125,161,0.7763975155279503,34,229,263,108,36,27,54,122,750,2564753
Josh Green,SG,20,DAL,39,5,445,42,93,0.45161290322580644,4,25,0.16,38,68,0.5589999999999999,0.4731182795698925,13,23,0.5652173913043478,28,50,78,28,16,3,17,35,101,2816760
Blake Griffin,PF,31,BRK,92,60,2372,348,822,0.4233576642335766,140,410,0.34146341463414637,208,412,1.508,0.5085158150851582,174,234,0.7435897435897436,70,380,450,280,64,30,124,222,1010,33900241
Kyle Guy,PG,23,SAC,31,0,235,29,88,0.32954545454545453,13,46,0.2826086956521739,16,42,0.381,0.4034090909090909,16,20,0.8,5,30,35,32,6,0,11,20,87,537888
Rui Hachimura,PF,22,WAS,57,57,1797,310,648,0.4783950617283951,45,137,0.3284671532846715,265,511,0.519,0.5131172839506173,124,161,0.7701863354037267,49,263,312,82,44,7,68,120,789,4692840
Ashton Hagans,PG,21,MIN,2,0,4,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,1,0,0,166111
Tyrese Haliburton,PG,20,SAC,58,20,1746,292,619,0.4717285945072698,121,296,0.40878378378378377,171,323,0.529,0.5694668820678513,48,56,0.8571428571428571,39,134,173,309,77,28,92,83,753,3831840
Donta Hall,PF,23,ORL,13,0,179,25,35,0.7142857142857143,0,0,0.0,25,35,0.7140000000000001,0.7142857142857143,23,34,0.6764705882352942,24,38,62,11,5,10,8,18,73,376276
Josh Hall,SF,20,OKC,21,1,336,30,99,0.30303030303030304,4,37,0.10810810810810811,26,62,0.419,0.32323232323232326,22,44,0.5,6,53,59,28,4,1,25,37,86,449115
RJ Hampton,SG,19,ORL,102,2,1776,272,626,0.43450479233226835,54,174,0.3103448275862069,218,452,1.4420000000000002,0.4776357827476038,110,164,0.6707317073170732,58,300,358,174,42,20,106,122,708,2193480
Tim Hardaway,SG,28,DAL,70,31,1985,407,911,0.446761800219539,207,529,0.391304347826087,200,382,0.524,0.5603732162458837,142,174,0.8160919540229885,20,209,229,126,31,11,64,111,1163,18975000
James Harden,PG,31,BRK,88,86,3218,684,1468,0.4659400544959128,242,668,0.36227544910179643,442,800,1.661,0.5483651226158038,556,646,0.8606811145510835,70,626,696,950,106,66,354,198,2166,41254920
Maurice Harkless,PF,27,SAC,74,46,1544,138,330,0.41818181818181815,46,168,0.27380952380952384,92,162,1.15,0.48787878787878786,66,86,0.7674418604651163,26,152,178,88,60,40,44,172,388,3623000
Jared Harper,PG,23,NYK,8,0,16,0,4,0.0,0,1,0.0,0,3,0.0,0.0,3,4,0.75,0,2,2,1,0,0,3,1,3,520487
Montrezl Harrell,C,27,LAL,69,1,1580,375,603,0.6218905472636815,0,10,0.0,375,593,0.632,0.6218905472636815,181,256,0.70703125,158,270,428,73,46,49,74,128,931,9258000
Gary Harris,SG,26,ORL,78,76,2160,276,690,0.4,96,282,0.3404255319148936,180,408,1.363,0.46956521739130436,128,156,0.8205128205128205,42,116,158,156,56,22,74,142,776,19610714
Jalen Harris,SG,22,TOR,13,2,172,36,72,0.5,17,36,0.4722222222222222,19,36,0.528,0.6180555555555556,7,9,0.7777777777777778,3,15,18,17,8,0,14,15,96,449115
Joe Harris,SF,29,BRK,69,65,2141,357,707,0.504950495049505,211,444,0.4752252252252252,146,263,0.555,0.6541725601131542,49,63,0.7777777777777778,43,205,248,130,46,14,62,141,974,16071429
Tobias Harris,PF,28,PHI,62,62,2014,473,924,0.5119047619047619,82,208,0.3942307692307692,391,716,0.546,0.5562770562770563,182,204,0.8921568627450981,62,357,419,220,55,51,107,119,1210,34358850
Shaquille Harrison,SG,27,DEN,68,0,666,52,156,0.3333333333333333,6,32,0.1875,46,124,1.0899999999999999,0.3525641025641026,36,44,0.8181818181818182,14,82,96,50,34,10,22,66,146,915048
Josh Hart,SF,25,NOP,47,4,1349,151,344,0.438953488372093,63,193,0.32642487046632124,88,151,0.583,0.5305232558139535,69,89,0.7752808988764045,53,324,377,109,38,12,49,111,434,3491159
Isaiah Hartenstein,C,22,CLE,92,4,1118,188,342,0.5497076023391813,4,12,0.3333333333333333,184,330,1.6709999999999998,0.5555555555555556,92,142,0.647887323943662,130,232,362,110,38,78,88,208,472,1620564
Udonis Haslem,C,40,MIA,1,0,3,2,2,1.0,0,0,0.0,2,2,1.0,1.0,0,0,0.0,0,1,1,0,0,0,0,0,4,2564753
Jaxson Hayes,C,20,NOP,60,3,964,175,280,0.625,6,14,0.42857142857142855,169,266,0.635,0.6357142857142857,93,120,0.775,92,165,257,35,25,38,39,101,449,5105160
Killian Hayes,PG,19,DET,26,18,670,71,201,0.35323383084577115,20,72,0.2777777777777778,51,129,0.395,0.40298507462686567,14,17,0.8235294117647058,6,63,69,138,27,10,83,57,176,5307120
Gordon Hayward,SF,30,CHO,44,44,1496,311,658,0.4726443768996961,85,205,0.4146341463414634,226,453,0.499,0.5372340425531915,156,185,0.8432432432432433,37,221,258,181,52,14,91,74,863,28500000
Juan Hernangomez,PF,25,MIN,52,6,900,130,299,0.43478260869565216,55,168,0.3273809523809524,75,131,0.573,0.5267558528428093,60,97,0.6185567010309279,45,160,205,35,19,7,27,52,375,6493000
Willy Hernangomez,C,26,NOP,47,12,846,151,268,0.5634328358208955,1,10,0.1,150,258,0.581,0.5652985074626866,62,93,0.6666666666666666,117,217,334,50,22,23,34,68,365,1737145
Tyler Herro,SG,21,MIA,54,15,1635,307,699,0.43919885550786836,107,297,0.3602693602693603,200,402,0.498,0.5157367668097281,94,117,0.8034188034188035,25,243,268,184,35,17,101,71,815,3822240
Buddy Hield,SG,28,SAC,71,71,2433,403,992,0.40625,282,721,0.391123439667129,121,271,0.446,0.5483870967741935,88,104,0.8461538461538461,29,305,334,257,63,30,130,175,1176,24931817
George Hill,PG,34,PHI,60,34,1344,190,394,0.48223350253807107,62,160,0.3875,128,234,1.629,0.5609137055837563,80,100,0.8,32,90,122,146,46,10,62,62,522,9590602
Solomon Hill,PF,29,ATL,71,16,1513,107,298,0.35906040268456374,68,212,0.32075471698113206,39,86,0.45299999999999996,0.47315436241610737,35,46,0.7608695652173914,42,172,214,75,50,11,42,116,317,2174318
Nate Hinton,SG,21,DAL,21,0,93,15,42,0.35714285714285715,4,19,0.21052631578947367,11,23,0.478,0.40476190476190477,7,10,0.7,1,8,9,8,7,2,5,8,41,449115
Jaylen Hoard,SF,21,OKC,19,0,320,44,88,0.5,0,11,0.0,44,77,0.5710000000000001,0.5,28,41,0.6829268292682927,21,44,65,24,13,5,17,19,116,129209
Aaron Holiday,PG,24,IND,66,8,1176,170,436,0.38990825688073394,67,182,0.36813186813186816,103,254,0.406,0.46674311926605505,68,83,0.8192771084337349,15,74,89,123,46,13,66,94,475,2345640
Jrue Holiday,PG,30,MIL,59,56,1907,414,823,0.503037667071689,111,283,0.392226148409894,303,540,0.561,0.5704738760631834,107,136,0.7867647058823529,73,195,268,357,96,37,127,98,1046,25876111
Justin Holiday,SG,31,IND,72,52,2183,258,625,0.4128,173,453,0.3818984547461369,85,172,0.494,0.5512,67,85,0.788235294117647,32,224,256,119,74,41,54,135,756,5720400
Rondae Hollis-Jefferson,PF,26,POR,11,1,107,9,18,0.5,0,1,0.0,9,17,0.529,0.5,9,16,0.5625,11,15,26,13,2,4,2,15,27,502957
Richaun Holmes,C,27,SAC,61,61,1782,366,575,0.6365217391304347,2,11,0.18181818181818182,364,564,0.645,0.6382608695652174,135,170,0.7941176470588235,144,360,504,101,39,96,75,213,869,5005350
Rodney Hood,SF,28,TOR,110,10,1884,188,520,0.36153846153846153,68,226,0.3008849557522124,120,294,1.218,0.4269230769230769,48,56,0.8571428571428571,46,160,206,106,48,14,72,148,492,10047450
Al Horford,C,34,OKC,28,28,782,162,360,0.45,56,152,0.3684210526315789,106,208,0.51,0.5277777777777778,18,22,0.8181818181818182,29,159,188,94,25,26,29,48,398,27500000
Talen Horton-Tucker,SG,20,LAL,65,4,1304,224,489,0.45807770961145194,37,131,0.2824427480916031,187,358,0.522,0.49591002044989774,100,129,0.7751937984496124,25,144,169,181,63,21,105,127,585,1517981
Danuel House,SF,27,HOU,36,23,932,110,272,0.40441176470588236,54,156,0.34615384615384615,56,116,0.483,0.5036764705882353,41,63,0.6507936507936508,18,114,132,69,20,16,36,67,315,3717000
Dwight Howard,C,35,PHI,69,6,1196,178,303,0.5874587458745875,5,20,0.25,173,283,0.611,0.5957095709570958,121,210,0.5761904761904761,190,390,580,61,30,62,112,200,482,2564753
Markus Howard,SG,21,DEN,37,1,205,40,106,0.37735849056603776,18,65,0.27692307692307694,22,41,0.537,0.46226415094339623,7,9,0.7777777777777778,1,20,21,18,4,1,18,23,105,535294
Kevin Huerter,SG,22,ATL,69,49,2126,316,731,0.4322845417236662,140,386,0.3626943005181347,176,345,0.51,0.5280437756497948,50,64,0.78125,38,193,231,241,82,18,79,165,822,2761920
Elijah Hughes,SF,22,UTA,18,0,64,10,30,0.3333333333333333,8,23,0.34782608695652173,2,7,0.28600000000000003,0.4666666666666667,3,4,0.75,1,8,9,6,1,1,6,1,31,898310
De'Andre Hunter,SF,23,ATL,23,19,678,120,248,0.4838709677419355,31,95,0.3263157894736842,89,153,0.5820000000000001,0.5463709677419355,73,85,0.8588235294117647,17,93,110,44,19,12,29,59,344,7422000
Chandler Hutchison,SF,24,WAS,50,2,692,78,206,0.3786407766990291,16,44,0.36363636363636365,62,162,1.059,0.4174757281553398,42,50,0.84,12,144,156,34,24,10,40,66,214,2443440
Serge Ibaka,C,31,LAC,41,39,955,186,365,0.5095890410958904,39,115,0.3391304347826087,147,250,0.588,0.563013698630137,43,53,0.8113207547169812,73,202,275,74,9,47,44,76,454,9258000
Andre Iguodala,SF,37,MIA,63,5,1339,95,248,0.38306451612903225,60,182,0.32967032967032966,35,66,0.53,0.5040322580645161,25,38,0.6578947368421053,38,183,221,142,57,35,67,90,275,15000000
Ersan Ilyasova,PF,33,UTA,17,1,148,21,54,0.3888888888888889,18,41,0.43902439024390244,3,13,0.231,0.5555555555555556,5,5,1.0,7,22,29,4,10,3,8,29,65,1194542
Joe Ingles,SF,33,UTA,67,30,1867,275,562,0.4893238434163701,183,406,0.45073891625615764,92,156,0.59,0.652135231316726,76,90,0.8444444444444444,27,217,244,318,45,12,117,120,809,10363637
Brandon Ingram,SF,23,NOP,61,61,2093,513,1101,0.4659400544959128,143,375,0.38133333333333336,370,726,0.51,0.5308810172570391,281,320,0.878125,34,265,299,296,42,36,154,124,1450,27285000
Kyrie Irving,PG,28,BRK,54,54,1886,549,1086,0.505524861878453,152,378,0.4021164021164021,397,708,0.561,0.5755064456721916,201,218,0.9220183486238532,52,205,257,324,76,37,130,140,1451,33460350
Wesley Iwundu,SF,26,NOP,82,8,1078,68,204,0.3333333333333333,10,82,0.12195121951219512,58,122,1.427,0.35784313725490197,52,62,0.8387096774193549,30,150,180,36,30,8,38,98,198,1678854
Frank Jackson,PG,22,DET,40,6,738,134,293,0.45733788395904434,61,150,0.4066666666666667,73,143,0.51,0.5614334470989761,61,75,0.8133333333333334,15,71,86,36,15,1,34,53,390,699115
Jaren Jackson,C,21,MEM,11,4,258,53,125,0.424,17,60,0.2833333333333333,36,65,0.5539999999999999,0.492,35,42,0.8333333333333334,17,45,62,12,12,18,15,42,158,7257360
Josh Jackson,SG,23,DET,62,25,1560,296,707,0.4186704384724187,77,257,0.29961089494163423,219,450,0.48700000000000004,0.47312588401697314,159,218,0.7293577981651376,57,197,254,143,53,47,142,178,828,4767000
Justin Jackson,SF,25,MIL,68,6,1154,178,442,0.40271493212669685,72,234,0.3076923076923077,106,208,1.3579999999999999,0.4841628959276018,62,74,0.8378378378378378,32,122,154,104,30,4,64,64,490,5109637
Reggie Jackson,SG,30,LAC,67,43,1544,263,585,0.4495726495726496,122,282,0.4326241134751773,141,303,0.465,0.5538461538461539,67,82,0.8170731707317073,24,168,192,205,41,7,74,127,715,2331593
Justin James,SF,24,SAC,36,0,310,52,111,0.46846846846846846,14,38,0.3684210526315789,38,73,0.521,0.5315315315315315,21,36,0.5833333333333334,9,21,30,22,8,3,15,23,139,1517981
LeBron James,PG,36,LAL,45,45,1504,422,823,0.5127582017010935,104,285,0.3649122807017544,318,538,0.591,0.5759416767922235,178,255,0.6980392156862745,29,317,346,350,48,25,168,70,1126,39219566
Mike James,PG,30,BRK,13,1,236,34,92,0.3695652173913043,11,31,0.3548387096774194,23,61,0.377,0.42934782608695654,21,27,0.7777777777777778,3,29,32,54,6,1,20,10,100,237648
DaQuan Jeffries,SG,23,HOU,62,10,986,100,240,0.4166666666666667,40,134,0.29850746268656714,60,106,1.7080000000000002,0.5,14,16,0.875,38,104,142,44,30,20,28,96,254,1445697
Ty Jerome,SG,23,OKC,33,1,788,128,287,0.445993031358885,71,168,0.4226190476190476,57,119,0.479,0.5696864111498258,26,34,0.7647058823529411,10,81,91,120,20,6,47,61,353,2303040
Isaiah Joe,SG,21,PHI,41,1,383,48,133,0.3609022556390977,39,106,0.36792452830188677,9,27,0.33299999999999996,0.5075187969924813,18,24,0.75,6,30,36,20,12,4,11,34,153,898310
Alize Johnson,PF,24,BRK,18,0,189,40,68,0.5882352941176471,1,6,0.16666666666666666,39,62,0.629,0.5955882352941176,13,13,1.0,27,63,90,14,5,5,9,16,94,621587
Cameron Johnson,PF,24,PHO,60,11,1437,203,483,0.42028985507246375,117,335,0.3492537313432836,86,148,0.581,0.5414078674948241,50,59,0.847457627118644,33,166,199,86,37,16,40,85,573,4235160
James Johnson,PF,33,NOP,102,24,2086,292,654,0.44648318042813456,62,240,0.25833333333333336,230,414,1.6840000000000002,0.4938837920489297,90,152,0.5921052631578947,64,290,354,196,84,84,110,240,736,16047100
Keldon Johnson,SF,21,SAS,69,67,1968,338,705,0.4794326241134752,60,181,0.3314917127071823,278,524,0.531,0.5219858156028369,145,196,0.7397959183673469,93,319,412,121,40,24,78,142,881,2048040
Stanley Johnson,PF,24,TOR,61,13,1006,89,233,0.38197424892703863,45,137,0.3284671532846715,44,96,0.45799999999999996,0.47854077253218885,44,55,0.8,29,124,153,89,52,18,54,116,267,3804150
Tyler Johnson,SG,28,BRK,39,3,684,72,183,0.39344262295081966,48,132,0.36363636363636365,24,51,0.47100000000000003,0.5245901639344263,18,21,0.8571428571428571,6,71,77,47,14,0,17,43,210,2028594
Nikola Jokic,C,25,DEN,72,72,2488,732,1293,0.5661252900232019,92,237,0.3881856540084388,640,1056,0.606,0.6017014694508894,342,394,0.868020304568528,205,575,780,599,95,48,222,192,1898,29542010
Damian Jones,C,25,SAC,78,20,1094,140,206,0.6796116504854369,2,10,0.2,138,196,2.86,0.6844660194174758,84,116,0.7241379310344828,72,170,242,58,22,58,52,154,366,1487284
Derrick Jones,SF,23,POR,58,43,1318,147,304,0.48355263157894735,43,136,0.3161764705882353,104,168,0.619,0.5542763157894737,59,91,0.6483516483516484,77,128,205,47,37,54,32,127,396,9258000
Mason Jones,SG,22,PHI,64,2,668,104,246,0.42276422764227645,48,132,0.36363636363636365,56,114,1.542,0.5203252032520326,80,128,0.625,14,96,110,84,14,2,58,48,336,424544
Tre Jones,PG,21,SAS,37,1,269,37,78,0.47435897435897434,3,5,0.6,34,73,0.466,0.4935897435897436,17,19,0.8947368421052632,8,13,21,39,8,0,13,13,94,898310
Tyus Jones,PG,24,MEM,70,9,1222,178,413,0.43099273607748184,45,140,0.32142857142857145,133,273,0.48700000000000004,0.4854721549636804,41,45,0.9111111111111111,21,119,140,259,64,6,48,31,442,8817143
DeAndre Jordan,C,32,BRK,57,43,1246,190,249,0.7630522088353414,0,1,0.0,190,248,0.7659999999999999,0.7630522088353414,46,92,0.5,117,310,427,93,17,65,85,116,426,10375678
Cory Joseph,PG,29,DET,126,26,2892,400,852,0.4694835680751174,90,264,0.3409090909090909,310,588,1.583,0.5223004694835681,144,176,0.8181818181818182,70,248,318,426,122,36,158,278,1034,12600000
Mfiondu Kabengele,PF,23,CLE,78,0,560,66,178,0.3707865168539326,26,100,0.26,40,78,1.4700000000000002,0.4438202247191011,32,40,0.8,24,96,120,34,16,26,30,72,190,2432353
Frank Kaminsky,C,27,PHO,47,13,715,121,257,0.4708171206225681,31,85,0.36470588235294116,90,172,0.523,0.5311284046692607,37,60,0.6166666666666667,36,152,188,79,14,17,22,70,310,1737145
Enes Kanter,C,28,POR,72,35,1758,339,561,0.6042780748663101,1,4,0.25,338,557,0.607,0.6051693404634582,127,164,0.774390243902439,284,511,795,84,33,48,78,168,806,5005350
Luke Kennard,SG,24,LAC,63,17,1232,197,414,0.4758454106280193,100,224,0.44642857142857145,97,190,0.511,0.5966183574879227,26,31,0.8387096774193549,15,146,161,104,23,9,48,91,520,5273826
Louis King,SF,21,SAC,6,1,85,17,34,0.5,4,11,0.36363636363636365,13,23,0.565,0.5588235294117647,6,6,1.0,5,13,18,9,7,3,4,9,44,49222
Maxi Kleber,PF,29,DAL,50,40,1341,116,275,0.4218181818181818,87,212,0.41037735849056606,29,63,0.46,0.58,34,37,0.918918918918919,47,213,260,68,24,35,30,105,353,8325000
Nathan Knight,PF,23,ATL,33,0,279,37,100,0.37,6,33,0.18181818181818182,31,67,0.46299999999999997,0.4,44,55,0.8,27,45,72,8,9,10,15,22,124,522989
Kevin Knox,SF,21,NYK,42,0,464,56,143,0.3916083916083916,35,89,0.39325842696629215,21,54,0.389,0.513986013986014,16,20,0.8,10,51,61,19,12,6,17,37,163,4588680
John Konchar,SG,24,MEM,43,0,575,69,138,0.5,21,56,0.375,48,82,0.585,0.5760869565217391,25,30,0.8333333333333334,35,93,128,47,30,9,18,40,184,2100000
Furkan Korkmaz,SG,23,PHI,55,11,1062,170,424,0.4009433962264151,101,269,0.3754646840148699,69,155,0.445,0.5200471698113207,60,82,0.7317073170731707,17,96,113,82,49,9,46,64,501,1762796
